"datetime","observation","variable"
2020-07-09,2.9571,"PHY_tchla_1.6"
2020-07-13,1.8743,"PHY_tchla_1.6"
2020-07-17,2.1655,"PHY_tchla_1.6"
2020-07-20,4.0959,"PHY_tchla_1.6"
2020-07-23,1.8386,"PHY_tchla_1.6"
2020-07-27,1.9829,"PHY_tchla_1.6"
2020-07-30,2.0705,"PHY_tchla_1.6"
2020-08-03,0.7874,"PHY_tchla_1.6"
2020-08-06,4.7748,"PHY_tchla_1.6"
2020-08-10,3.0975,"PHY_tchla_1.6"
2020-08-17,3.4193,"PHY_tchla_1.6"
2020-08-24,3.8411,"PHY_tchla_1.6"
2020-09-02,3.0631,"PHY_tchla_1.6"
2020-09-03,5.068,"PHY_tchla_1.6"
2020-09-09,7.5512,"PHY_tchla_1.6"
2020-09-11,5.2034,"PHY_tchla_1.6"
2020-09-15,6.9529,"PHY_tchla_1.6"
2020-09-21,3.6726,"PHY_tchla_1.6"
2020-09-25,4.3193,"PHY_tchla_1.6"
2020-09-30,2.4621,"PHY_tchla_1.6"
2020-10-04,2.6164,"PHY_tchla_1.6"
2020-10-06,2.2304,"PHY_tchla_1.6"
2020-10-13,5.1215,"PHY_tchla_1.6"
2020-10-16,3.839,"PHY_tchla_1.6"
2020-10-17,3.2802,"PHY_tchla_1.6"
2020-10-19,3.3286,"PHY_tchla_1.6"
2020-10-28,10.8245,"PHY_tchla_1.6"
2020-11-02,3.793,"PHY_tchla_1.6"
2020-11-04,5.8056,"PHY_tchla_1.6"
2020-11-09,9.272,"PHY_tchla_1.6"
2020-12-14,2.6606,"PHY_tchla_1.6"
